cassette_number,cassette_code,substrate_barcode,pallette_number,run
Cassette 01,A000056,000001E000289095,12,79
Cassette 01,A000056,000001E000289096,13,79
Cassette 01,A000056,000001E000289091,14,79
Cassette 01,A000056,000001E000289092,15,79
Cassette 01,A000056,000001E000289093,16,79
Cassette 01,A000056,000001E000289087,17,79
Cassette 01,A000056,000001E000289088,18,79
Cassette 01,A000056,000001E000289089,19,79
Cassette 01,A000056,000001E000288978,20,79
Cassette 01,A000056,000001E000289085,21,79
Cassette 01,A000056,000001E000289086,22,79
Cassette 01,A000056,000001E000289081,23,79
Cassette 01,A000056,000001E000289082,24,79
Cassette 01,A000056,000001E000289083,25,79
Cassette 02,A000091,000001E000288981,0,79
Cassette 02,A000091,000001E000289022,1,79
Cassette 02,A000091,000001E000289021,2,79
Cassette 02,A000091,000001E000289018,3,79
Cassette 02,A000091,000001E000289019,4,79
Cassette 02,A000091,000001E000289020,5,79
Cassette 02,A000091,000001E000289015,6,79
Cassette 02,A000091,000001E000289016,7,79
Cassette 02,A000091,000001E000289017,8,79
Cassette 02,A000091,000001E000289012,9,79
Cassette 02,A000091,000001E000289013,10,79
Cassette 02,A000091,000001E000289014,11,79
Cassette 02,A000091,000001E000289008,12,79
Cassette 02,A000091,000001E000289009,13,79
Cassette 02,A000091,000001E000289005,14,79
Cassette 02,A000091,000001E000289006,15,79
Cassette 02,A000091,000001E000289007,16,79
Cassette 02,A000091,000001E000289001,17,79
Cassette 02,A000091,000001E000289003,18,79
Cassette 02,A000091,000001E000289004,19,79
Cassette 02,A000091,000001E000288998,20,79
Cassette 02,A000091,000001E000288999,21,79
Cassette 02,A000091,000001E000289000,22,79
Cassette 02,A000091,000001E000288995,23,79
Cassette 02,A000091,000001E000288996,24,79
Cassette 02,A000091,000001E000288997,25,79
Cassette 03,A000002,000001E000288982,0,79
Cassette 03,A000002,000001E000289080,1,79
Cassette 03,A000002,000001E000289078,2,79
Cassette 03,A000002,000001E000289079,3,79
Cassette 03,A000002,000001E000289075,4,79
Cassette 03,A000002,000001E000289076,5,79
Cassette 03,A000002,000001E000289077,6,79
Cassette 03,A000002,000001E000289072,7,79
Cassette 03,A000002,000001E000289073,8,79
Cassette 03,A000002,000001E000289074,9,79
Cassette 03,A000002,000001E000289069,10,79
Cassette 03,A000002,000001E000289070,11,79
Cassette 03,A000002,000001E000289071,12,79
Cassette 03,A000002,000001E000289066,13,79
Cassette 03,A000002,000001E000289067,14,79
Cassette 03,A000002,000001E000289068,15,79
Cassette 03,A000002,000001E000289063,16,79
Cassette 03,A000002,000001E000289064,17,79
Cassette 03,A000002,000001E000289065,18,79
Cassette 03,A000002,000001E000289060,19,79
Cassette 03,A000002,000001E000289061,20,79
Cassette 03,A000002,000001E000289062,21,79
Cassette 03,A000002,000001E000289023,22,79
Cassette 03,A000002,000001E000289024,23,79
Cassette 03,A000002,000001E000289025,24,79
Cassette 03,A000002,000001E000289026,25,79
Cassette 04,A000115,000001E000288983,0,79
Cassette 04,A000115,000001E000289047,1,79
Cassette 04,A000115,000001E000289048,2,79
Cassette 04,A000115,000001E000289051,3,79
Cassette 04,A000115,000001E000289052,4,79
Cassette 04,A000115,000001E000289053,5,79
Cassette 04,A000115,000001E000289054,6,79
Cassette 04,A000115,000001E000289055,7,79
Cassette 04,A000115,000001E000289056,8,79
Cassette 04,A000115,000001E000289057,9,79
Cassette 04,A000115,000001E000289058,10,79
Cassette 04,A000115,000001E000289059,11,79
Cassette 04,A000115,000001E000289123,12,79
Cassette 04,A000115,000001E000289124,13,79
Cassette 04,A000115,000001E000289125,14,79
Cassette 04,A000115,000001E000289126,15,79
Cassette 04,A000115,000001E000289127,16,79
Cassette 04,A000115,000001E000289128,17,79
Cassette 04,A000115,000001E000289129,18,79
Cassette 04,A000115,000001E000289130,19,79
Cassette 04,A000115,000001E000289131,20,79
Cassette 04,A000115,000001E000289132,21,79
Cassette 04,A000115,000001E000289133,22,79
Cassette 04,A000115,000001E000289134,23,79
Cassette 04,A000115,000001E000289135,24,79
Cassette 04,A000115,000001E000289136,25,79
Cassette 01,A000009,000001E000290872,0,143
Cassette 01,A000009,000001E000291058,1,143
Cassette 01,A000009,000001E000291059,2,143
Cassette 01,A000009,000001E000291060,3,143
Cassette 01,A000009,000001E000291061,4,143
Cassette 01,A000009,000001E000291062,5,143
Cassette 01,A000009,000001E000291063,6,143
Cassette 01,A000009,000001E000291065,7,143
Cassette 01,A000009,000001E000291066,8,143
Cassette 01,A000009,000001E000291064,9,143
Cassette 01,A000009,000001E000290907,10,143
Cassette 01,A000009,000001E000290908,11,143
Cassette 01,A000009,000001E000290909,12,143
Cassette 01,A000009,000001E000290910,13,143
Cassette 01,A000009,000001E000290911,14,143
Cassette 01,A000009,000001E000290912,15,143
Cassette 01,A000009,000001E000290913,16,143
Cassette 01,A000009,000001E000290914,17,143
Cassette 01,A000009,000001E000290915,18,143
Cassette 01,A000009,000001E000290916,19,143
Cassette 01,A000009,000001E000290917,20,143
Cassette 01,A000009,000001E000290918,21,143
Cassette 01,A000009,000001E000290919,22,143
Cassette 01,A000009,000001E000290920,23,143
Cassette 01,A000009,000001E000290921,24,143
Cassette 01,A000009,000001E000290922,25,143
Cassette 02,A000018,000001E000290867,0,143
Cassette 02,A000018,000001E000291028,1,143
Cassette 02,A000018,000001E000291027,2,143
Cassette 02,A000018,000001E000291024,3,143
Cassette 02,A000018,000001E000291025,4,143
Cassette 02,A000018,000001E000291026,5,143
Cassette 02,A000018,000001E000291021,6,143
Cassette 02,A000018,000001E000291022,7,143
Cassette 02,A000018,000001E000291023,8,143
Cassette 02,A000018,000001E000291018,9,143
Cassette 02,A000018,000001E000291019,10,143
Cassette 02,A000018,000001E000291020,11,143
Cassette 02,A000018,000001E000291016,12,143
Cassette 02,A000018,000001E000291017,13,143
Cassette 02,A000018,000001E000291012,14,143
Cassette 02,A000018,000001E000291013,15,143
Cassette 02,A000018,000001E000291014,16,143
Cassette 02,A000018,000001E000291009,17,143
Cassette 02,A000018,000001E000291010,18,143
Cassette 02,A000018,000001E000291011,19,143
Cassette 02,A000018,000001E000291006,20,143
Cassette 02,A000018,000001E000291007,21,143
Cassette 02,A000018,000001E000291008,22,143
Cassette 02,A000018,000001E000291003,23,143
Cassette 02,A000018,000001E000291004,24,143
Cassette 02,A000018,000001E000291005,25,143
Cassette 01,A000047,000001E000287577,0,20
Cassette 01,A000047,000001E000287605,1,20
Cassette 01,A000047,000001E000287603,2,20
Cassette 01,A000047,000001E000287604,3,20
Cassette 01,A000047,000001E000287599,4,20
Cassette 01,A000047,000001E000287600,5,20
Cassette 01,A000047,000001E000287601,6,20
Cassette 01,A000047,000001E000287596,7,20
Cassette 01,A000047,000001E000287597,8,20
Cassette 01,A000047,000001E000287598,9,20
Cassette 01,A000047,000001E000287594,10,20
Cassette 01,A000047,000001E000287593,11,20
Cassette 01,A000047,000001E000287590,12,20
Cassette 01,A000047,000001E000287591,13,20
Cassette 01,A000047,000001E000287592,14,20
Cassette 01,A000047,000001E000287587,15,20
Cassette 01,A000047,000001E000287588,16,20
Cassette 01,A000047,000001E000287589,17,20
Cassette 01,A000047,000001E000287584,18,20
Cassette 01,A000047,000001E000287585,19,20
Cassette 01,A000047,000001E000287586,20,20
Cassette 01,A000047,000001E000287581,21,20
Cassette 01,A000047,000001E000287582,22,20
Cassette 01,A000047,000001E000287583,23,20
Cassette 01,A000047,000001E000287482,24,20
Cassette 01,A000047,000001E000287483,25,20
